Governate_Name_English,Governate_Name_Arabic,Governate_Latitude,Governate_Longitude,Wallyat_Name_English,Wallyat_Name_Arabic,Wallyat_Latitude,Wallyat_Longitude,Village_Name_English,Village_Name_Arabic,Village_Latitude,Village_Longitude
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Jifayr,الجفير,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Jinaynir,الجنينير,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Khadra,الخضراء,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al khiariah,الخيارية,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Khuwayrij,الخويرج,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Lusayl,اللسيل,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Muallaqah,المعلقة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Mufiyah,الموفية,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al muqiah,الموقية,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Muqshab,المقشاب,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Murjam,المرجام,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Qabil,القابل,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al rjibat,الرجيبات,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al shabeah,الشعبيه,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Shboul,الشبول,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Ubaylah,العبيلة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Wasit,الواسط,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al-fddah,الفضه,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,AL-Shariah,الشريعة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Alzerob,الزروب,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,An Nashlah,النشلة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,An Nijad,النجاد,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,An Niqayfah,النقيفة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Ar Rabi,الرابى,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Ar Raddah,الردة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Ar Rakdah,الركدة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,As Sabkhah,الصبخة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,As Sarfanah,صرفانة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,As Shabkah,الشبكة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,As Sikawdi,سكودى,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,As Sudayf,السديف,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,As Surfanah,الصرفانه,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,At Tali,الطالعي,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Ath Thayliyah,الثيلية,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Barhuz,بارهوز,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Bayda,بيضاء,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Bisharah,بشارة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Ghushabah / Ud Miraykh,غشابة / عود مريخ,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hafit,حفيت,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hafit P/S,مركز شرطة حفيت,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Harah Al shandaghah,حاره الشندغه,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Harat  Alqadhi,حارة القاضي,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Harat Abdulaziz,حارة عبدالعزيز,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Harat Al suq,حارة السوق,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Harat Alqaramatih,حارة القرامطه,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Harrat Al-fiddeh,حارة الفضة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hawil Al shawamis,حويل الشوامس,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hayl Al Khud,حيل الخود,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hayl Al Qubayr,حيل القبير,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hayl As Sirayhat,حيل السريحات,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hayl Mahnun,حيل محنون,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hmasah,حماسه,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Hullat Alssur,حلة السور,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Huwail,حويل,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Huwayl Ali Hamad Ash Shamsi,حويل علي حمد الشامسي,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Huwayl Ash Shami,حويل الشامي,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Khadara Al-jadidih,خضراء الجديدة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Khadara Alssayh,خضراء السيح,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Kitnah,كتنة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Madabbah,مضبة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Mantaqat Azzan,منطقة عزان,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Mazari Al Uqdah,مزارع العقدة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Qarn Ar Rissah,قرن الرسة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Qaryah,قربة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Qusayd,قصيد,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Radmah,رضمه,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Rudmah,الرضمة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Sara,صعراء,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Saraa Al-jadidih,صعراء الجديده,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Sham,شام,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Thyb,ثيب,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Wadi Ajran,وادي اجران,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Wadi Al Jzi,وادي الجزي,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Wadi Sa P/S,مركزوادي صاع,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Yajeran,ياجران,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754, Alssaf,الصفاء,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Abu Baqrah,ابو بقرة,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al Bihaysah,البحيصة,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al danor,الدعنور,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al Harmuzi,الهرموزى,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al Manazil,المنازل,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al Mazari,المزارع,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al Multaqa,الملتقى,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al Uwaydah,العويدة,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Al Wujan,الوجن,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Aleirad,العراد,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Alhirad,الحراد,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Alqaraein,القرائن,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Alraki,الراكي,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Alshahryah,الشهرية,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Aqayah,القيعة,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Ar Rihani,الريحانى,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,As Sallahiyah,السلاحية,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,As Sunaynah,السنينة,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Awad Al rrakiz,عود الركيز,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Ayn Al Hilwah,عين الحلوة,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Biir Zaeibah,بئر زعبه,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Harat Al kilabinah Bihafit,حارة الكلابنة بحفيت,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Hremh,هريمة,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Khamis,خميس,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Kharimat Aleawija,خريمة العويجا,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Khitmat Al ttaraf,خطمة الطرف,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Medicis,مديسيس,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Qurayh,قريح,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Qurun Alssafia,قرون الصفيا,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Sayh Diayliyan,سيح دعيليان,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Shaeab alghaf,شعاب الغاف,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Sjiae,سجياء,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,As Sunaynah,السنينة,23.6198936,55.9692754,Wadi Al hasi,وادي الحاسي,23.6198936,55.9692754
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Abu Badi,ابو بادى,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Abu Qalah,ابو قلعة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Abul,عبول,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Ad Diaynah,الضعينة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Ad Duhah,الضحاة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Ad Duwayhiyah,الضويحيه,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Afrad,الافراض,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al amadahih,المضاحية,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Aqrabiyah,العقربية,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Arasim,العراسم,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Arhamiyah,العرهمية,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Ashaykhrah,الاشيخرة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al buaysuh,البويصه,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Bun,البون,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al dhahir,الظاهر,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al eajil,العجيل,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Fajj,الفج,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Faqu,الفقو,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Fayy,الفي,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al gharith,الغريث,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Hajir,الحاجر,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Harah,الحاره,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Hayl,الحيل,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al hmym,الحميمة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Huwayl,الحويل,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Ilal,العلعال,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Jaylat,الجيلات,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Jazeera,الجزيرة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Jinaynah,الجنينة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Juwayf,الجويف,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Karbi,الكربى,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khabbayn,الخبين,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khadra,الخضراء,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khadra Al Jadidah,الخضراء الجديدة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khadra Al Qadimah,الخضراء القديمة,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khubayb,الخبيب,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khuluw,الخلو,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khutwah,الخطوه,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Khutwah Ash Shabiyah,الخطوة الشعبية,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Litayfah (1),اللطيفة 1,24.4054184,55.963705
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Mahadha,محضة,24.4054184,55.963705,Al Litayfah (2),اللطيفة 2,24.4054184,55.963705
