area_id,area_name,governorate,wilayat,latitude,longitude,population,workforce,startups_count,total_businesses,business_competitors,cafe_competitors,restaurant_competitors,bakery_competitors,abaya_competitors,clothes_competitors,perfume_competitors,salon_competitors,grocery_competitors,flower_competitors,pharmacy_competitors,bank_competitors,electronics_competitors,complementary_pois,data_source_notes
dhofar_shalimealhallaniyahislnd,Shalimealhallaniyahislnd,Dhofar,Shalimealhallaniyahislnd,18.1017332,55.6430503,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_shinas,Shinas,Al Batinah North,Shinas,24.7242467,56.4607919,1218140,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_sohar,Sohar,Al Batinah North,Sohar,24.3500672,56.7133258,1218140,,5,142,115,11,37,1,0,2,4,1,34,1,4,9,2,142,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. OpenStreetMap POIs used as primary source for Sohar.
dhofar_sudh,Sudh,Dhofar,Sudh,17.0559323,55.0672551,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_sumail,Sumail,Ad Dakhliyah,Sumail,23.2968896,57.973082,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_south_sur,Sur,Ash Sharqiyah South,Sur,22.5652759,59.5066376,641112,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_taqah,Taqah,Dhofar,Taqah,17.0552467,54.379516,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_thumarait,Thumarait,Dhofar,Thumarait,17.6513361,54.0303343,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_north_wadi_bani_khalid,Wadi Bani Khalid,Ash Sharqiyah North,Wadi Bani Khalid,22.5999838,59.0869565,432442,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_south_wadi_maawil,Wadi Maawil,Al Batinah South,Wadi Maawil,23.4749882,57.8354279,998239,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
adh_dhahirah_yanqul,Yanqul,Adh Dhahirah,Yanqul,23.5989926,56.5448304,360842,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
